Policy Name,Text
PCI Security Testing,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure security testing complies with the Payment Card Industry Data Security Standard (PCI DSS).1
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
PCI Network vulnerabilities must be tracked, monitored, and tested quarterly, per PCI DSS guidelines.
Any findings that do not comply with PCI DSS guidelines must be remediated.
1 The Payment Card Industry Security Standards Council (PCI SSC) was launched on September 7, 2006, to manage the ongoing evolution of the Payment Card Industry (PCI) security standards with a focus on improving payment account security throughout the transaction process. The PCI DSS is administered and managed by the PCI SSC, an independent body that was created by the major payment card brands (Visa, MasterCard, American Express, Discover, and JCB).
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Related Policies and Procedures
Acceptable Uses of IT Infrastructure and Resources
Merchant Credit Card Acceptance Policy
Vulnerability Management Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director, IT Security Operations and Assurance
Approved By: CISO
Approval Date: February 28, 2017
Revision History
Version Date Description
1.0 02/01/2017 Initial document
1.0.1 02/28/2017 Definitions edit; no change to policy
1.0.2 05/24/2018 Updated disclaimer, scope, and definitions
1.0.3 01/03/2019 Updated links
  01/16/2020 Reviewed; no changes.
1.2 01/20/2021 Updated policy statement
  08/07/2023 Reviewed; no changes.
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
Peer-to-Peer,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to protect the University’s IT Resources by prohibiting and blocking the use of  Peer-to-Peer Applications. 
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
The University prohibits using Peer-to-Peer Applications; however, the University understands there are legitimate academic uses for Peer-to-Peer Applications and will review requests on a per-need basis. 
The University mandates that all IT Resources be used consistently with the Acceptable Uses of IT Infrastructure and Resources Policy and comply with the Higher Education Opportunity Act and all other applicable laws and regulations.
The University is not obligated to protect a User from a complaint or action arising from any violation or alleged violation of the law, including infringement of any intellectual property right due to the use of Peer-to-Peer Applications or any other type of file-sharing, software, or networks. 
Users should understand that material accessible through the internet does not mean that accessing such material is authorized by third-party rights holders. Content may only be accessible after a User pays for it and may not be authorized for distribution by those with rights to it.
The University implements safeguards against the illegal exchange, unauthorized use, or distribution of copyrighted materials that violate the Acceptable Uses of IT Infrastructure and Resources Policy. 
Users should know that the University employs deterrent controls, such as bandwidth management technology, to ensure peer-to-peer programs do not degrade network speeds or any other portion of the IT Resources. 
The Office of Information Technology uses tools to perform this work and reserves the right to install or change packet shaping and traffic monitoring technologies at any time.
Users should be aware that Peer-to-Peer Applications are not necessarily harmless, and using them, in addition to potentially degrading the IT Resources’ performance, may:
Violate copyright, patent, trademark, or other rights;
May result in the disclosure of confidential information; and
May jeopardize the security of the IT Resources.
If peer-to-peer programs degrade the performance of the IT Resources, appropriate action will be taken against the User or Users responsible for such degradation or other negative impact.
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Peer-to-peer Applications allow computers to share data in music, movies, games, or any computer file or software over a local network and the internet without accessing a centralized distribution server or set of servers.
Related Policies and Procedures
Acceptable Uses of IT Infrastructure and Resources Policy Statement
Implementation Information
Review Frequency Triennial 
Responsible Person Senior Director, IT Security and Assurance
Approved By CISO
Approval Date 09/12/2018
Revision History
Version: Date: Description:
1.0 09/12/2018 Initial document
1.0.1 02/05/2020 Update to the policy statement
1.2 09/23/2023 Updated policy statement, scope, and policy disclaimer 
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal. "
Provisioning and Deprovisioning,"Version 1.5
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to define the University’s IT Resources access issuance, modification, or revocation for entities affiliated with the University.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Access to University IT Resources must only be granted to entities (person or non-person) following the Principle of Least Privilege.
When an entity’s (person or non-person) role or affiliation is modified or terminated, or access is no longer required, it is the responsibility of the managing supervisor (or higher) to notify Human Resources and IT Service Desk, as applicable, of the status change.
All provisioning and deprovisioning requests must be kept in the University’s IT ticketing system to enable an appropriate review of compliance with this policy.
IT Resources that do not use centrally managed services (e.g., Central Authentication Service) or have an automatic provisioning/deprovisioning process in place must be manually provisioned/deprovisioned by the individual(s) responsible.
Non-centrally managed accounts include but are not limited to:
Service and administrative accounts,
Educational Technologies and Research Computing accounts,
Database accounts,
Application-based accounts, or
Corporate and Generic Accounts.
Definitions
Corporate Accounts are departmental or group email accounts.
Deprovisioning is the term used when account access is suspended or disabled from use.
Generic Accounts are considered accounts not derived using the faculty, staff, or student naming convention. There is no corresponding ID associated with a Generic Account. These accounts do not identify the person or entity using the account. See the Generic Account Policy.
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Principle of Least Privilege is the cybersecurity practice that individuals should have access to only IT Resources and functions required to perform their stated duties.
Provisioning is the term used to create or provide specific accounts and applicable access.
Related Policies and Procedures
Account Access Change Control
Corporate Accounts Policy
Generic Account Policy
Implementation Information
Review Frequency Annual
Responsible Person Senior Director of IT Security and Assurance 
Approved By CISO
Approval Date March 1, 2017
Revision History
Version Date Description
1.0 03/01/2017 Initial document
1.0.1 03/07/2018 Grammatical changes only. No adjustments to the policy
1.0.2 06/25/2018 Updated disclaimers, scope, and definitions
1.0.3 09/30/2019 Updated definitions
1.0.4 11/11/2019 Updated policy statement
1.1 12/04/2020 Updated the purpose and policy statements
1.2 11/09/2021 Updated policy statement
1.3 11/11/2022 Updated definitions, links, and Sr Director title
1.4  03/30/2023 Updated policy statement and definitions 
1.5 04/30/2024 Updated policy statement, scope, and disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Risk Assessment,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to facilitate compliance with applicable federal and state laws and regulations, protect the confidentiality and integrity of the University’s IT Resources, and enable informed decisions regarding Risk Management.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
The Senior Director of IT Security and Assurance (or designees) is authorized to perform periodic information security Risk Assessments to determine vulnerabilities and initiate appropriate remediation.
The University uses formal Information Security Risk Management (ISRM) programs that identify risks and implement plans to address and manage them.
The Senior Director of IT Security and Assurance manages the ISRM program and coordinates the development and maintenance of program policies, procedures, standards, and reports.
The ISRM program is based on risk assessment and developed in consideration of University priorities, staffing, and budget.
Risk Assessments must identify, quantify, and prioritize risk acceptance and objectives relevant to the University. The results are to guide and determine the appropriate management action and priorities for managing information security risks and for implementing Controls to protect against these risks. 
The Risk Assessment must include the systematic approach of estimating the probability and impact of the risk and the process of analyzing the Inherent Risk score to evaluate the significance of the risk. 
Risk Assessments are performed periodically to address changes in security requirements and the risk situation (e.g., threats, vulnerabilities, impacts).  
Risk Assessments are to be undertaken systematically, capable of producing comparable and reproducible results.
Definitions
Control is a defined process or procedure to reduce risk.
Inherent Risk is the level of risk before controls are applied. 
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services. 
Information Security Risk Management (ISRM) is a program that consistently identifies and tracks information security risks, implements plans for remediation, and guides strategic resource planning.  
Risk Assessment is the process of taking identified risks and analyzing their potential severity of impact and likelihood of occurrence.
Risk Management is the ongoing management process of assessing risks and implementing plans to address them. 
Related Policies and Procedures
Data Classification Policy
Patch Management Policy
Vulnerability Management Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Approval Date: March 1, 2017
Revision History
Version Date Description
1.0 03/01/2017 Initial document
1.0.1 03/02/2018 Grammatical changes only.  No adjustments to the policy.
1.0.2 06/25/2018 Updated disclaimer, scope, and definitions.
  05/22/2020 Periodic review
1.2 08/14/2023 Updated policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
Role-Based Email Accounts,"Version 1.0
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure that appropriate Fordham-provided email accounts are used in alignment with the appropriate role-based criteria.
Scope
This Information technology (IT) policy, and all policies referenced herein, shall apply to the following members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement                                   
Employees of the University taking classes at Fordham must use their Fordham-provided Student email account for student/learning purposes.
Employees of the University must use their Fordham-provided Work email address exclusively for work-related purposes.
Employees who are provided a Student email account and who are also Alumni must use their Fordham-provided Student account for communicating or collaborating with alumni or learning-related correspondence (e.g., G-Suite™, Office 365™).
Current students who begin working for a university office must use the Fordham-provided Work email account1 provided solely for internal employment purposes or for collaborating with work-related correspondence (e.g., G-Suite, Office 365).
Users assigned more than one Fordham-provided email account (as mentioned above) manage all Fordham-provided email passwords by logging into Claim Account with their original username.
Definitions
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Acceptable Use of IT Infrastructure and Resources Policy
Implementation Information
Review Frequency Triennial
Responsible Person Senior Director of IT Security and Assurance
Approved By CIO, VP of HR, and Office of Legal Counsel
Approval Date August 25, 2023
Revision History
Version
Date
Description
1.0
08/25/2023
Initial document
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal.
1 The Employee email is disabled when the position has been terminated or expired. However, students may keep their student email after graduation."
Secure Data Handling,"Version 1.4
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure the protection of the University’s IT Resources against unauthorized use, accidental or malicious damage, and theft.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Fordham Protected data, Fordham Sensitive data, or Public data must be stored or transmitted per the Data Classification Guidelines, Data at Rest Policy, or the Data in Transit Policy.
Protection1 measures must be taken and maintained to prevent unauthorized or unlawful disclosure of University data. Protection measures are based on data classification and include, but are not limited to, the following:
Physical access control (e.g., controlled access to buildings, rooms, data centers, storage, and media disposal).
Technical control (e.g., configurations, administrative access (e.g., restrict access based on role or authority). 
1 Policy scenario example: Payment Card Industry (PCI) data viewed/maintained by University personnel (e.g., faculty, staff) needs to be secured physically (physical access control) by storing in locked cabinets. Access to IT Resources containing PCI data is password-protected (administrative access control). A separate sub-set of Fordham’s main network is used to store PCI data (technical access control).
Definitions
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Related Policies and Procedures
Data Classification and Protection Policy
Data Classification Guidelines
Data at Rest Policy
Data in Transit Policy
Third-Party Data Transfer Policy
Implementation Information
Review Frequency: Annual
Responsible Person: Senior Director, IT Security Operations and Assurance 
Approved By: CISO
Approval Date: May 16, 2017
Revision History
Version Date Description
1.0 05/16/2017 Initial document
1.0.1 01/09/2019 Updated policy statement
1.2 07/13/2020 Updated policy statement
1.3 07/26/2021 Updated links
1.4 08/01/2022 Updated policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions. "
System and Communications Protection,"Version 2.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to demonstrate adherence to a Systems and Communication Protection program, ensuring security compliance with minimally acceptable requirements.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Data Owners and Custodians must develop/adopt and adhere to a formal, documented process to ensure that, commensurate with risk, the confidentiality, integrity, and availability of IT Resources, both in storage and during transmission, are protected per the Data in Transit and Data at Rest policies.
Data Owners and Custodians must protect the authenticity of communications sessions, per the Server Certificate Security Policy.
The process must protect and monitor information transmitted or received by critical IT Resources and employ architectural designs, software, development techniques, and engineering principles that promote adequate information security per Information Technology Security Policy.
Data Owners and Custodians must monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and critical internal boundaries of Fordham University’s IT Resources per the Firewall/Network Access Control List Policy.
Data Owners and Custodians must prevent unauthorized and unintended information transfer via shared IT Resources per Data Classification Policy and Guidelines.
Data Owners and Custodians must prevent remote devices from simultaneously establishing non-remote connections with Fordham University’s IT Resources and communicating via some other connection to resources in external networks per IT Resources Remote Access Policy.
Data Owners and Custodians must employ Federal Information Processing Standards (FIPS) validated cryptography to protect the confidentiality of information per the Disk Encryption Policy.
As summarized in the Information Security and Risk Management Program document, mandatory security controls for IT Resources are University-wide controls required to be consistently designed, implemented, monitored, and assessed by Information Security and Assurance.
Refer to the IT Policy Library for additional respective policies.
Definitions
Data Custodian is the individual to whom day-to-day actions have been assigned by the data owner and is responsible for the storage, maintenance, and protection of information.
Data Owner(s) are responsible for the information, security, and use of a particular set of information.
Federal Information Processing Standards (FIPS) are standards issued to establish requirements for various purposes, such as ensuring computer security and interoperability. They are intended for cases where suitable industry standards do not exist. Many FIPS specifications are modified versions of standards used in the technical communities, such as the American National Standards Institute (ANSI), the Institute of Electrical and Electronics Engineers (IEEE), and the International Organization for Standardization (ISO).
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Data at Rest Policy
Data Classification Guidelines
Data Classification Policy
Data in Transit Policy
Firewall/Access Control List Policy
Information Technology Security Policy
IT Resources Remote Access Policy
Implementation Information
Review Frequency: Annual
Responsible Person: Senior Director of IT Security Operations and Assurance 
Approved By: CISO
Approval Date:  April 14, 2020
Revision History
Version Date Description
1.0 04/14/2020 Initial document
1.1 05/11/2021 Annual review, changes to the purpose statement
2.0 09/22/2021 Updated policy statement to reflect the transition to CSF
2.1 10/26/2022 Updated links, Sr Director’s title, and UISO
2.2 05/17/2023 Updated policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
Third-Party Data Transfer,"Version 1.6
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure that the data transmitted or transferred between University IT Resources and a third party is secure and documented for audits.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Users must submit a service request to initiate a third-party data transfer per the Third-Party Data Transfer Procedure.
Data transmission to or from the University to a third party must be reviewed and approved by Information Security and Assurance (ISA).
Any third-party vendor that stores the University’s data must have a signed contract with the University.
A secure transmission method must be used as specified in the Data in Transit Policy.
ISA has final approval on the requested protocols as reflected in the Data in Transit Policy.
Definitions
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Data Classification Policy
Data Classification Guidelines
Data in Transit Policy
Third-Party Data Transfer Procedure
Implementation History
Review Frequency Triennial 
Responsible Person Senior Director, IT Security Operations and Assurance 
Approved By CISO
Approval Date October 1, 2018
Revision History
Version Date Description
1.2 01/15/2016 Supersedes September 1, 2009 version
1.3 01/01/2018 Supersedes the January 15, 2016, version
1.4 01/16/2020 Updated policy statement
1.5 02/22/2021 Updated purpose and policy statements
1.6 03/04/2024 Updated purpose, scope, policy statement, and disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Third-Party Integration,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure contracts and Service Level Agreements (SLA) follow best practices for third-party integrations and that University’s IT Resources are secure.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Third-party applications must integrate with the University’s authentication services (e.g., CAS, SAML, SSO) for end-user and administrative access.
Third-party integrations must connect via an Application Programming Interface (API). 
Third-parties must allow the ability to audit controls.
Third-parties must allow logging accessibility (e.g., troubleshooting, security, monitoring, modifying verbosity).
Third-parties must provide SLA, disaster recovery, and business continuity plans.
The third-party’s disaster recovery plan should match the University’s service-level expectations.
Third-parties should attest to or allow Fordham to validate the disaster recovery and business continuity plans.
Third-parties must follow the Data in Transit, Data at Rest policies, and Data Classification Guidelines.
Third-parties must demonstrate SSAE 18, SOC2 Type I or II, or similar certification to ensure the University’s data is secure.
Third-parties must submit to the Office of Information Technology’s Third-Party Risk Management framework.
Users engaging in a third-party service must follow the practices outlined in the Third-Party Integration Procedure.
Third-party services must abide by the University’s provisioning and de-provisioning policies and procedures.
When the University’s authentication services are not applicable, local accounts ownership/permissions should match the University’s Acceptable Use of IT Infrastructure and Resources.
The Chief Information Security Officer (CISO) must authorize deviations from this policy's requirements.
Definitions
An application program interface (API) is bridged communication between various modules and integrates with other third-party applications.
Central Authentication Service (CAS) permits an authorized user to access multiple applications.
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Security Assertion Markup Language (SAML) is a current standard for session-based password-less authentication between an identity provider (University) and a service provider (third-party application).
Single Sign-On (SSO) is a session and user authentication service that permits Users to apply one set of login credentials (e.g., name, password) to access multiple applications.
A Third-Party is any non-Fordham entity that provides a product or service.
Related Policies and Procedures
Acceptable Use of IT Infrastructure and Resources
Business Continuity and Disaster Recovery
Data Classification Guidelines
Data Classification and Protection Policy
Data at Rest Policy
Data in Transit Policy
Provisioning and Deprovisioning
Third-Party Integration Procedure
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Approval Date: November 25, 2019
Revision History
Version Date Description
1.0 11/25/2019 Initial document
1.1 12/04/2020 Updated policy statement and related policies
1.2 07/26/2023 Updated purpose and policy statements
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions. "
Vulnerability Management,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure a higher level of security to the University’s IT Resources provided through vulnerability management.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
All patches or configuration changes must be deployed to University-owned or managed IT Resources per the timeframe stated in the Vulnerability Management Procedure. 
Information Security and Assurance (ISA) provides approved standard tools and methodologies for vulnerability assessments. 
All IT Resources must be part of a patch management cycle as defined in Patch Management Policy. 
Application and system owners are responsible for the assessment and remediation of IT Resources under their management or supervision. 
If a solution or remediation is not available to address a vulnerability, the ISA must approve any compensating or other mitigating controls. 
Application and system owners must have a written and auditable procedure addressing remediation steps. 
Definitions
Compensating control is a data security measure that is designed to satisfy the requirement or some other security measure that is deemed too difficult or impractical to implement.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
A patch is a software update comprised of code inserted (i.e., patched) into the code of an executable program. Typically, a patch is installed into an existing software program. Patches are often temporary fixes between full releases of a software package. Patches include, but are not limited to, the following:
Upgrading software
Fixing a software bug
Installing new drivers
Addressing new security vulnerabilities
Addressing software stability issues
Patch management cycle is a part of lifecycle management and is the process of using a strategy and plan of what patches should be applied to which systems at a specified time. Patch management occurs regularly as per the Patch Management Procedure.
Remediation is an effort that resolves or mitigates a discovered vulnerability.
Vulnerability management is the practice of identifying, classifying, remediating, and mitigating vulnerabilities.
Related Policies and Procedures
Change Control Policy
Vulnerability Management Procedure
Patch Management Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance 
Approved By: CISO
Approval Date: March 25, 2019
Revision History
Version Date Description
1.0 01/23/2017 Initial policy
1.1 03/25/2019 Updated policy statement
  05/08/2020 Periodic Review
1.2 07/27/2021 Updated links
  08/03/2023 Reviewed; no changes.
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions. "
Wireless Use,"Version 2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to regulate wireless network access to the University’s IT Resources.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
User authentication is required before accessing the 'Fordham' or eduroam wireless networks1.
The FordhamGuest (non-authenticated wireless service) provides visitors with unprotected and insecure access to the Internet for basic web browsing and is limited to Internet-available services.
Users must not use the network to exchange sensitive or personal information.
The University monitors the wireless networks for interfering devices to ensure reliable access.
The University reserves the right to restrict/remove device access to the wireless networks to prevent Users from infecting, degrading, or otherwise negatively impacting IT Resources.
Users must not install a personal Wireless Access Point or any device that interferes with wireless IT Resources.
Should any such device be detected, the University notifies the User, and the User is then required to disable and remove the device from the network. If the User does not promptly disable the device, the University reserves the right to disconnect the device from the network.
1 Consult the web page Campus Wifi for detailed instructions on connecting to the new network on your particular device or operating system.
Definitions
eduroam is a network where users can connect to the eduroam wireless network on any of Fordham’s campuses.
Fordham is a secure network for all members of the Fordham community with a Fordham username and password.
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Wireless Access Point is a networking device that allows wireless devices to connect to a wired network.
Related Policies and Procedures
Acceptable Uses of IT Infrastructure and Resources
Campus WiFi
Internet of Things Policy
Implementation Information
Review Frequency Triennial
Responsible Person Senior Director of Information Security and Assurance
Approved By CISO
Approval Date 10/29/2018
Revision History
Version Date Description
1.0
10/29/2018
Original document
1.1
11/13/2019
Purpose and statement updates
1.2
11/20/2020
Annual review updates
1.3
01/14/2021
Update policy statement
1.4
09/27/2023
Updated scope, policy statement, director's title, and formatting
2.0
01/26/2024
Updated policy statement and links
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
